TrainNum,RecordDate,OriginStation,TerminalStation,MaxCount,LoadFactors
K11,2015-10-01,ZD074,ZD190-02,1285,125.1
G01,2015-10-01,ZD075,ZD190-02,1112,92.0
G02,2015-10-01,ZD075,ZD190-02,556,88.8
K17,2015-10-01,ZD004,ZD190-02,1270,90.2
K18,2015-10-01,ZD246,ZD190-02,1200,101.0
K02,2015-10-01,ZD291,ZD190-02,1061,104.2
G03,2015-10-01,ZD313,ZD190-02,1102,91.7
Z03,2015-10-01,ZD012,ZD190-02,1349,124.2
G04,2015-10-01,ZD242,ZD190-01,556,97.6
G05,2015-10-01,ZD242,ZD190-01,1112,88.9
G06,2015-10-01,ZD013,ZD190-01,1015,99.6
G07,2015-10-01,ZD013,ZD190-01,1015,98.7
G08,2015-10-01,ZD013,ZD190-01,1015,98.9
G09,2015-10-01,ZD013,ZD190-01,1015,99.0
G10,2015-10-01,ZD013,ZD190-01,1112,99.4
G11,2015-10-01,ZD013,ZD190-01,1112,94.9
G12,2015-10-01,ZD013,ZD190-01,1112,99.3
G13,2015-10-01,ZD013,ZD190-01,1005,98.3
G14,2015-10-01,ZD013,ZD190-01,1112,95.5
G15,2015-10-01,ZD013,ZD190-01,1112,95.8
G16,2015-10-01,ZD013,ZD190-01,1112,95.9
G17,2015-10-01,ZD013,ZD190-01,1112,95.1
K15,2015-10-01,ZD230,ZD190-01,1263,119.1
K12,2015-10-01,ZD007,ZD190-01,1148,105.6
K04,2015-10-01,ZD273,ZD190-02,1194,99.3
G25,2015-10-01,ZD261,ZD190-01,1061,95.7
K16,2015-10-01,ZD266,ZD190-01,1260,110.6
D02,2015-10-01,ZD111-01,ZD190-01,1112,106.1
D03,2015-10-01,ZD190-01,ZD111-01,1226,100.3
D04,2015-10-01,ZD111-03,ZD190-01,586,103.6
D05,2015-10-01,ZD190-01,ZD111-01,1172,98.1
D06,2015-10-01,ZD111-01,ZD190-01,1172,87.4
D07,2015-10-01,ZD190-01,ZD111-01,1226,110.8
D08,2015-10-01,ZD111-01,ZD190-02,586,86.2
D09,2015-10-01,ZD190-01,ZD111-01,586,104.4
D10,2015-10-01,ZD111-01,ZD190-01,1172,89.8
D11,2015-10-01,ZD190-01,ZD111-01,586,110.6
D12,2015-10-01,ZD111-01,ZD190-01,586,95.4
D13,2015-10-01,ZD190-01,ZD111-01,1172,101.2
D14,2015-10-01,ZD111-01,ZD190-01,1226,90.6
D15,2015-10-01,ZD190-02,ZD111-03,586,103.3
D16,2015-10-01,ZD111-01,ZD190-01,613,65.0
D17,2015-10-01,ZD190-01,ZD111-03,1112,90.0
D18,2015-10-01,ZD111-01,ZD190-01,613,81.0
D19,2015-10-01,ZD190-01,ZD111-03,586,72.8
D20,2015-10-01,ZD111-01,ZD190-02,586,101.4
D49,2015-10-01,ZD111-02,ZD190-02,1112,79.9
D50,2015-10-01,ZD190-02,ZD111-02,1112,96.7
T02,2015-10-01,ZD181,ZD190-02,378,34.6
T03,2015-10-01,ZD190-01,ZD181,378,109.8
T04,2015-10-01,ZD181,ZD190-01,378,18.5
T05,2015-10-01,ZD190-02,ZD181,378,59.5
G18,2015-10-01,ZD209,ZD190-01,1005,97.0
G19,2015-10-01,ZD209,ZD190-01,1005,94.6
G20,2015-10-01,ZD209,ZD190-01,1005,94.8
G21,2015-10-01,ZD209,ZD190-01,1112,89.8
G23,2015-10-01,ZD082,ZD190-01,610,97.8
G24,2015-10-01,ZD080,ZD190-01,1005,98.7
G27,2015-10-01,ZD080,ZD190-01,1112,90.5
K10,2015-10-01,ZD056,ZD190-01,1122,83.5
K08,2015-10-01,ZD170,ZD190-01,1318,103.8
G22,2015-10-01,ZD203,ZD190-01,960,86.4
Z01,2015-10-01,ZD071,ZD190-01,930,123.4
T01,2015-10-01,ZD212,ZD190-01,1090,112.9
G26,2015-10-01,ZD072,ZD190-01,1005,95.4
G28,2015-10-01,ZD316,ZD190-01,1005,93.5
K03,2015-10-01,ZD174,ZD190-01,1316,76.5
K07,2015-10-01,ZD029,ZD190-01,1332,101.0
G29,2015-10-01,ZD321,ZD190-01,480,93.4
K01,2015-10-01,ZD142,ZD190-01,1225,102.0
K06,2015-10-01,ZD299,ZD190-01,1246,111.1
Z02,2015-10-01,ZD267,ZD190-01,1194,107.1
K11,2015-10-02,ZD074,ZD190-02,1264,105.4
G01,2015-10-02,ZD075,ZD190-02,1112,76.9
G02,2015-10-02,ZD075,ZD190-02,556,86.1
K17,2015-10-02,ZD004,ZD190-02,1270,79.6
K18,2015-10-02,ZD246,ZD190-02,1200,98.0
K02,2015-10-02,ZD291,ZD190-02,1061,96.7
G03,2015-10-02,ZD313,ZD190-02,1102,85.4
Z03,2015-10-02,ZD012,ZD190-02,1349,127.3
G04,2015-10-02,ZD242,ZD190-01,556,99.4
G05,2015-10-02,ZD242,ZD190-01,556,95.1
G06,2015-10-02,ZD013,ZD190-01,1015,99.6
G07,2015-10-02,ZD013,ZD190-01,1015,99.7
G08,2015-10-02,ZD013,ZD190-01,1015,99.3
G09,2015-10-02,ZD013,ZD190-01,1015,99.2
G10,2015-10-02,ZD013,ZD190-01,1112,99.8
G11,2015-10-02,ZD013,ZD190-01,1112,93.6
G12,2015-10-02,ZD013,ZD190-01,1112,96.5
G13,2015-10-02,ZD013,ZD190-01,1005,95.5
G14,2015-10-02,ZD013,ZD190-01,1112,88.6
G15,2015-10-02,ZD013,ZD190-01,1112,88.1
G16,2015-10-02,ZD013,ZD190-01,1112,87.7
G17,2015-10-02,ZD013,ZD190-01,1112,86.5
K15,2015-10-02,ZD230,ZD190-01,1263,117.2
K12,2015-10-02,ZD007,ZD190-01,1148,99.3
K04,2015-10-02,ZD273,ZD190-02,1194,97.6
G25,2015-10-02,ZD261,ZD190-01,1061,97.3
K16,2015-10-02,ZD266,ZD190-01,1260,104.5
D02,2015-10-02,ZD111-01,ZD190-01,1112,104.5
D03,2015-10-02,ZD190-01,ZD111-01,613,64.9
D04,2015-10-02,ZD111-03,ZD190-01,586,106.1
D05,2015-10-02,ZD190-01,ZD111-01,1172,62.9
D06,2015-10-02,ZD111-01,ZD190-01,1172,107.2
D07,2015-10-02,ZD190-01,ZD111-01,1226,98.7
D08,2015-10-02,ZD111-01,ZD190-02,586,97.8
D09,2015-10-02,ZD190-01,ZD111-01,586,105.0
D10,2015-10-02,ZD111-01,ZD190-01,1172,101.5
D11,2015-10-02,ZD190-01,ZD111-01,586,92.1
D12,2015-10-02,ZD111-01,ZD190-01,586,95.2
D13,2015-10-02,ZD190-01,ZD111-01,1172,72.6
D14,2015-10-02,ZD111-01,ZD190-01,1226,83.2
D15,2015-10-02,ZD190-02,ZD111-03,586,54.9
D16,2015-10-02,ZD111-01,ZD190-01,613,60.9
D17,2015-10-02,ZD190-01,ZD111-03,1112,51.5
D18,2015-10-02,ZD111-01,ZD190-01,1226,73.3
D19,2015-10-02,ZD190-01,ZD111-03,586,54.0
D20,2015-10-02,ZD111-01,ZD190-02,586,103.6
D49,2015-10-02,ZD111-02,ZD190-02,556,62.5
D50,2015-10-02,ZD190-02,ZD111-02,556,97.1
T02,2015-10-02,ZD181,ZD190-02,378,39.7
T03,2015-10-02,ZD190-01,ZD181,378,42.9
T04,2015-10-02,ZD181,ZD190-01,378,26.8
T05,2015-10-02,ZD190-02,ZD181,378,31.4
G18,2015-10-02,ZD209,ZD190-01,1005,97.4
G19,2015-10-02,ZD209,ZD190-01,1005,95.6
G20,2015-10-02,ZD209,ZD190-01,1005,98.9
G21,2015-10-02,ZD209,ZD190-01,1112,88.0
G23,2015-10-02,ZD082,ZD190-01,610,96.2
G24,2015-10-02,ZD080,ZD190-01,1005,97.2
G27,2015-10-02,ZD080,ZD190-01,1112,84.5
