日期,天气状况,气温,风力风向,地区
2015年1月1日,晴/晴,4℃/-3℃,南风≤3级/南风≤3级,ZD111
2015年1月1日,晴/晴,3℃/-7℃,南风≤3级/南风≤3级,ZD326
2015年1月1日,晴/晴,2℃/-5℃,南风3-4级/南风3-4级,ZD250
2015年1月1日,晴/晴,1℃/-3℃,北风5-6级/北风4-5级,ZD190
2015年1月2日,晴/晴,6℃/0℃,北风≤3级/南风3-4级,ZD111
2015年1月2日,晴/晴,7℃/-5℃,北风≤3级/南风3-4级,ZD326
2015年1月2日,晴/晴,4℃/-4℃,北风3-4级/南风3-4级,ZD250
2015年1月2日,晴/晴,4℃/0℃,北风3-4级/北风3-4级,ZD190
2015年1月3日,晴/晴,12℃/3℃,南风3-4级/南风≤3级,ZD111
2015年1月3日,晴/晴,10℃/-2℃,南风3-4级/南风3-4级,ZD326
2015年1月3日,晴/多云,10℃/-3℃,南风3-4级/南风≤3级,ZD250
2015年1月3日,晴/多云,7℃/2℃,南风4-5级/南风3-4级,ZD190
2015年1月4日,晴/小雨,13℃/3℃,南风≤3级/南风≤3级,ZD111
2015年1月4日,多云/小雨,13℃/2℃,南风≤3级/南风3-4级,ZD326
2015年1月4日,晴/多云,10℃/0℃,南风3-4级/南风≤3级,ZD250
2015年1月4日,晴/多云,9℃/4℃,南风3-4级/南风3-4级,ZD190
2015年1月5日,阴/多云,8℃/-4℃,北风3-4级/北风3-4级,ZD111
2015年1月5日,小雨/多云,7℃/-5℃,北风4-5级/北风4-5级,ZD326
2015年1月5日,小雨/阴,6℃/-3℃,北风4-5级/北风4-5级,ZD250
2015年1月5日,小雨/阵雨,9℃/-2℃,南风3-4级/北风5-6级,ZD190
2015年1月6日,晴/多云,4℃/-3℃,北风≤3级/北风≤3级,ZD111
2015年1月6日,多云/多云,2℃/-5℃,北风3-4级/北风≤3级,ZD326
2015年1月6日,晴/多云,3℃/-4℃,北风3-4级/北风3-4级,ZD250
2015年1月6日,晴/多云,3℃/-2℃,北风5-6级/北风3-4级,ZD190
2015年1月7日,多云/晴,6℃/-2℃,南风≤3级/南风≤3级,ZD111
2015年1月7日,多云/晴,5℃/-6℃,南风≤3级/南风≤3级,ZD326
2015年1月7日,晴/晴,5℃/-5℃,北风3-4级/南风3-4级,ZD250
2015年1月7日,晴/晴,4℃/-1℃,北风3-4级/北风3-4级,ZD190
2015年1月8日,晴/晴,9℃/-1℃,南风≤3级/南风≤3级,ZD111
2015年1月8日,晴/晴,9℃/-6℃,南风≤3级/南风≤3级,ZD326
2015年1月8日,晴/晴,9℃/-4℃,南风3-4级/南风3-4级,ZD250
2015年1月8日,晴/晴,5℃/-1℃,西北风3-4级/西南风3-4级,ZD190
2015年1月9日,晴/霾,8℃/-1℃,北风≤3级/南风≤3级,ZD111
2015年1月9日,晴/晴,7℃/-6℃,北风≤3级/北风≤3级,ZD326
2015年1月9日,晴/晴,7℃/-5℃,北风3-4级/南风≤3级,ZD250
2015年1月9日,晴/晴,7℃/-2℃,北风3-4级/北风3-4级,ZD190
2015年1月10日,晴/晴,11℃/1℃,南风3-4级/南风≤3级,ZD111
2015年1月10日,晴/晴,12℃/-4℃,南风≤3级/南风≤3级,ZD326
2015年1月10日,晴/晴,12℃/-3℃,南风3-4级/北风3-4级,ZD250
2015年1月10日,晴/晴,9℃/0℃,西北风3-4级/北风3-4级,ZD190
2015年1月11日,霾/晴,8℃/-2℃,北风≤3级/东北风≤3级,ZD111
2015年1月11日,晴/晴,7℃/-6℃,北风≤3级/南风3-4级,ZD326
2015年1月11日,晴/晴,5℃/-6℃,北风≤3级/北风3-4级,ZD250
2015年1月11日,晴/晴,6℃/-3℃,北风3-4级/北风3-4级,ZD190
2015年1月12日,晴/多云,8℃/-1℃,南风≤3级/东南风≤3级,ZD111
2015年1月12日,晴/晴,7℃/-5℃,南风≤3级/南风≤3级,ZD326
2015年1月12日,晴/多云,5℃/-2℃,东南风≤3级/南风3-4级,ZD250
2015年1月12日,晴/多云,4℃/1℃,北风3-4级/南风3-4级,ZD190
2015年1月13日,多云/多云,7℃/-1℃,南风≤3级/南风≤3级,ZD111
2015年1月13日,多云/多云,7℃/-3℃,南风≤3级/南风≤3级,ZD326
2015年1月13日,多云/多云,6℃/-3℃,南风3-4级/南风3-4级,ZD250
2015年1月13日,多云/多云,6℃/2℃,东南风3-4级/东南风3-4级,ZD190
2015年1月14日,霾/多云,8℃/0℃,北风≤3级/南风≤3级,ZD111
2015年1月14日,多云/多云,9℃/-2℃,南风≤3级/南风≤3级,ZD326
2015年1月14日,多云/多云,8℃/-2℃,南风3-4级/北风3-4级,ZD250
2015年1月14日,多云/晴,8℃/2℃,东北风3-4级/北风3-4级,ZD190
2015年1月15日,霾/霾,8℃/0℃,南风≤3级/南风≤3级,ZD111
2015年1月15日,多云/多云,8℃/-2℃,南风≤3级/北风≤3级,ZD326
2015年1月15日,多云/多云,7℃/-1℃,北风3-4级/北风3-4级,ZD250
2015年1月15日,晴/多云,7℃/-1℃,北风3-4级/北风3-4级,ZD190
2015年1月16日,霾/晴,6℃/-4℃,北风3-4级/北风≤3级,ZD111
2015年1月16日,晴/晴,6℃/-8℃,北风3-4级/北风3-4级,ZD326
2015年1月16日,多云/晴,4℃/-6℃,北风3-4级/北风4-5级,ZD250
2015年1月16日,多云/晴,5℃/-2℃,北风3-4级/西北风5-6级,ZD190
2015年1月17日,晴/多云,6℃/1℃,北风≤3级/南风3-4级,ZD111
2015年1月17日,晴/多云,6℃/-3℃,北风3-4级/南风≤3级,ZD326
