"日期","天气状况","气温","风力风向","地区"
"2015年01月01日","晴/晴","4℃/-3℃","南风≤3级/南风≤3级","ZD111"
"2015年01月02日","晴/晴","6℃/0℃","北风≤3级/南风3-4级","ZD111"
"2015年01月03日","晴/晴","12℃/3℃","南风3-4级/南风≤3级","ZD111"
"2015年01月04日","晴/小雨","13℃/3℃","南风≤3级/南风≤3级","ZD111"
"2015年01月05日","阴/多云","8℃/-4℃","北风3-4级/北风3-4级","ZD111"
"2015年01月06日","晴/多云","4℃/-3℃","北风≤3级/北风≤3级","ZD111"
"2015年01月07日","多云/晴","6℃/-2℃","南风≤3级/南风≤3级","ZD111"
"2015年01月08日","晴/晴","9℃/-1℃","南风≤3级/南风≤3级","ZD111"
"2015年01月09日","晴/霾","8℃/-1℃","北风≤3级/南风≤3级","ZD111"
"2015年01月10日","晴/晴","11℃/1℃","南风3-4级/南风≤3级","ZD111"
"2015年01月11日","霾/晴","8℃/-2℃","北风≤3级/东北风≤3级","ZD111"
"2015年01月12日","晴/多云","8℃/-1℃","南风≤3级/东南风≤3级","ZD111"
"2015年01月13日","多云/多云","7℃/-1℃","南风≤3级/南风≤3级","ZD111"
"2015年01月14日","霾/多云","8℃/0℃","北风≤3级/南风≤3级","ZD111"
"2015年01月15日","霾/霾","8℃/0℃","南风≤3级/南风≤3级","ZD111"
"2015年01月16日","霾/晴","6℃/-4℃","北风3-4级/北风≤3级","ZD111"
"2015年01月17日","晴/多云","6℃/1℃","北风≤3级/南风3-4级","ZD111"
"2015年01月18日","晴/晴","9℃/-2℃","西南风3-4级/西北风3-4级","ZD111"
"2015年01月19日","晴/多云","10℃/3℃","南风3-4级/南风3-4级","ZD111"
"2015年01月20日","多云/雨夹雪","10℃/-1℃","南风3-4级/北风≤3级","ZD111"
"2015年01月21日","阴/晴","4℃/-5℃","北风3-4级/北风≤3级","ZD111"
"2015年01月22日","晴/晴","6℃/0℃","南风≤3级/南风3-4级","ZD111"
"2015年01月23日","晴/多云","11℃/0℃","南风3-4级/南风≤3级","ZD111"
"2015年01月24日","雨夹雪/雨夹雪","7℃/-1℃","东北风≤3级/北风≤3级","ZD111"
"2015年01月25日","雾/雾","3℃/-1℃","北风≤3级/北风≤3级","ZD111"
"2015年01月26日","雾/多云","5℃/-4℃","北风≤3级/北风3-4级","ZD111"
"2015年01月27日","多云/多云","1℃/-5℃","北风≤3级/东北风≤3级","ZD111"
"2015年01月28日","多云/小雪","2℃/-4℃","东北风≤3级/南风≤3级","ZD111"
"2015年01月29日","阴/多云","3℃/-5℃","南风≤3级/北风≤3级","ZD111"
"2015年01月30日","晴/晴","2℃/-6℃","北风≤3级/北风≤3级","ZD111"
"2015年01月31日","晴/多云","3℃/-5℃","南风≤3级/南风≤3级","ZD111"
"2015年02月01日","多云/多云","5℃/-4℃","南风≤3级/南风≤3级","ZD111"
"2015年02月02日","多云/多云","6℃/-3℃","南风≤3级/南风≤3级","ZD111"
"2015年02月03日","多云/霾","6℃/-3℃","西南风≤3级/北风≤3级","ZD111"
"2015年02月04日","晴/晴","4℃/-4℃","北风3-4级/北风≤3级","ZD111"
"2015年02月05日","晴/晴","6℃/-1℃","北风≤3级/南风≤3级","ZD111"
"2015年02月06日","晴/多云","8℃/-1℃","南风3-4级/南风3-4级","ZD111"
"2015年02月07日","多云/晴","4℃/-7℃","北风3-4级/北风3-4级","ZD111"
"2015年02月08日","晴/晴","2℃/-5℃","北风≤3级/南风≤3级","ZD111"
"2015年02月09日","晴/晴","8℃/2℃","南风3-4级/南风3-4级","ZD111"
"2015年02月10日","晴/晴","12℃/1℃","南风3-4级/南风≤3级","ZD111"
"2015年02月11日","晴/晴","9℃/-2℃","北风3-4级/东北风≤3级","ZD111"
"2015年02月12日","多云/多云","8℃/-1℃","东北风≤3级/北风≤3级","ZD111"
"2015年02月13日","晴/晴","12℃/7℃","南风≤3级/南风3-4级","ZD111"
"2015年02月14日","多云/小雨","18℃/6℃","南风3-4级/南风≤3级","ZD111"
"2015年02月15日","小雨/雾","9℃/3℃","北风≤3级/北风≤3级","ZD111"
"2015年02月16日","雾/晴","11℃/1℃","北风3-4级/北风≤3级","ZD111"
"2015年02月17日","晴/晴","12℃/0℃","东北风≤3级/北风≤3级","ZD111"
"2015年02月18日","晴/晴","10℃/-1℃","北风≤3级/南风≤3级","ZD111"
"2015年02月19日","晴/阴","9℃/3℃","南风≤3级/东南风≤3级","ZD111"
"2015年02月20日","小雨/小雨","7℃/2℃","东南风≤3级/北风≤3级","ZD111"
"2015年02月21日","多云/晴","11℃/-2℃","北风3-4级/北风≤3级","ZD111"
"2015年02月22日","晴/晴","7℃/-2℃","北风≤3级/北风≤3级","ZD111"
"2015年02月23日","晴/多云","8℃/1℃","南风≤3级/南风≤3级","ZD111"
"2015年02月24日","晴/多云","13℃/3℃","南风3-4级/南风3-4级","ZD111"
"2015年02月25日","多云/多云","10℃/-2℃","北风3-4级/北风≤3级","ZD111"
"2015年02月26日","晴/多云","9℃/0℃","北风≤3级/东北风≤3级","ZD111"
"2015年02月27日","多云/小雪","7℃/-1℃","东北风≤3级/北风≤3级","ZD111"
"2015年02月28日","小雪/晴","6℃/-1℃","南风≤3级/南风≤3级","ZD111"
"2015年03月01日","晴/晴","12℃/7℃","南风≤3级/西南风3-4级","ZD111"
"2015年03月02日","晴/多云","16℃/1℃","西南风4-5级/西南风4-5级","ZD111"
"2015年03月03日","多云/晴","6℃/-4℃","北风4-5级/北风3-4级","ZD111"
"2015年03月04日","晴/多云","6℃/-2℃","北风≤3级/南风≤3级","ZD111"
"2015年03月05日","多云/多云","8℃/2℃","南风≤3级/南风3-4级","ZD111"
"2015年03月06日","晴/晴","12℃/5℃","南风3-4级/南风3-4级","ZD111"
"2015年03月07日","晴/晴","15℃/7℃","南风3-4级/南风3-4级","ZD111"
"2015年03月08日","多云/多云","13℃/0℃","南风3-4级/北风3-4级","ZD111"
