Date,Count
2015/1/1,2083
2015/1/2,3007
2015/1/3,5250
2015/1/4,2069
2015/1/5,1304
2015/1/6,1610
2015/1/7,1542
2015/1/8,1499
2015/1/9,2030
2015/1/10,1945
2015/1/11,1807
2015/1/12,1450
2015/1/13,1509
2015/1/14,1696
2015/1/15,1725
2015/1/16,2234
2015/1/17,1978
2015/1/18,2236
2015/1/19,1483
2015/1/20,1705
2015/1/21,1795
2015/1/22,1984
2015/1/23,2131
2015/1/24,1809
2015/1/25,2192
2015/1/26,1409
2015/1/27,1606
2015/1/28,1854
2015/1/29,1812
2015/1/30,1936
2015/1/31,1768
2015/2/1,1819
2015/2/2,1211
2015/2/3,1365
2015/2/4,1436
2015/2/5,1415
2015/2/6,1727
2015/2/7,1572
2015/2/8,1756
2015/2/9,1337
2015/2/10,1397
2015/2/11,1250
2015/2/12,1403
2015/2/13,1311
2015/2/14,1195
2015/2/15,898
2015/2/16,814
2015/2/17,578
2015/2/18,353
2015/2/19,668
2015/2/20,1298
2015/2/21,1691
2015/2/22,2139
2015/2/23,2974
2015/2/24,4230
2015/2/25,2672
2015/2/26,2386
2015/2/27,2312
2015/2/28,2489
2015/3/1,2640
2015/3/2,2771
2015/3/3,2475
2015/3/4,2355
2015/3/5,2675
2015/3/6,4928
2015/3/7,3998
2015/3/8,3920
2015/3/9,2497
2015/3/10,1995
2015/3/11,1832
2015/3/12,1957
2015/3/13,2512
2015/3/14,2338
2015/3/15,2550
2015/3/16,1825
2015/3/17,1714
2015/3/18,1792
2015/3/19,1975
2015/3/20,2733
2015/3/21,2867
2015/3/22,3091
2015/3/23,1914
2015/3/25,2121
2015/3/26,2067
2015/3/27,2907
2015/3/28,2699
2015/3/29,2771
2015/4/1,1691
2015/4/2,2430
2015/4/3,4829
2015/4/4,3568
2015/4/5,4128
2015/4/6,5770
2015/4/7,2224
2015/4/8,1958
2015/4/9,2140
2015/4/10,2959
2015/4/11,2331
2015/4/12,2637
2015/4/13,1810
2015/4/14,1925
2015/4/15,1994
2015/4/16,2228
2015/4/17,2772
2015/4/18,2634
2015/4/19,2987
2015/4/20,2161
2015/4/21,2059
2015/4/22,2241
2015/4/23,2345
2015/4/24,3049
2015/4/25,2870
2015/4/26,2992
2015/4/27,2257
2015/4/28,2295
2015/4/29,3275
2015/4/30,5690
2015/5/1,4453
2015/5/2,5132
2015/5/3,6991
2015/5/4,2834
2015/5/5,2179
2015/5/6,2002
2015/5/7,2455
2015/5/8,2950
2015/5/9,2957
2015/5/10,3045
2015/5/11,1888
2015/5/12,2044
2015/5/13,2171
2015/5/14,2431
2015/5/15,3170
2015/5/16,3228
2015/5/17,3219
2015/5/18,2121
2015/5/19,2025
2015/5/20,2256
2015/5/21,2526
2015/5/22,3664
2015/5/23,3371
2015/5/24,3389
2015/5/25,2108
2015/5/26,2045
2015/5/27,2249
2015/5/28,2584
2015/5/29,3122
2015/5/30,3771
2015/5/31,3599
2015/6/1,2022
2015/6/2,2115
2015/6/3,2039
2015/6/4,2286
2015/6/5,3105
2015/6/6,3230
2015/6/7,3087
2015/6/8,2075
2015/6/9,2071
2015/6/10,2193
2015/6/11,2431
2015/6/12,3468
2015/6/13,3278
2015/6/14,3148
2015/6/15,2484
2015/6/16,2314
2015/6/17,2444
2015/6/18,3065
2015/6/19,5427
2015/6/20,3843
2015/6/21,4316
2015/6/22,5902
2015/6/23,2434
2015/6/24,2039
2015/6/25,2346
2015/6/26,3137
2015/6/27,3114
2015/6/28,3038
2015/6/29,2266
2015/6/30,2292
2015/7/1,2340
2015/7/2,2587
2015/7/3,3504
2015/7/4,3021
2015/7/5,3625
2015/7/6,2600
2015/7/7,2763
2015/7/8,2778
2015/7/9,2825
2015/7/10,3506
2015/7/11,3325
2015/7/12,3357
2015/7/13,2619
2015/7/14,2762
2015/7/15,3024
2015/7/16,3012
2015/7/17,3914
2015/7/18,3228
2015/7/19,3563
2015/7/20,2489
2015/7/21,2483
2015/7/22,2547
2015/7/23,3102
2015/7/24,3492
2015/7/25,3474
2015/7/27,2478
2015/7/28,2408
2015/7/29,2500
2015/7/30,2822
2015/7/31,3709
2015/8/1,3178
2015/8/2,3426
2015/8/3,2536
2015/8/4,2389
2015/8/5,2476
2015/8/6,2858
2015/8/7,3387
2015/8/8,3188
2015/8/9,3470
2015/8/10,2806
2015/8/11,2611
2015/8/12,2808
2015/8/13,3181
2015/8/14,4050
2015/8/15,3392
2015/8/16,3755
2015/8/17,2740
2015/8/18,2768
2015/8/19,3052
2015/8/20,3627
2015/8/21,4038
2015/8/22,3729
2015/8/23,3697
2015/8/24,2736
2015/8/25,2805
2015/8/27,3080
2015/8/28,3606
2015/8/29,3223
2015/8/30,2944
2015/8/31,2119
2015/9/1,2475
2015/9/2,3952
2015/9/3,3427
2015/9/4,3730
2015/9/5,5097
2015/9/6,2666
2015/9/7,1828
2015/9/8,1973
2015/9/9,2036
2015/9/10,2502
2015/9/11,3174
2015/9/12,2707
2015/9/13,2675
2015/9/14,1972
2015/9/15,2037
2015/9/16,2123
2015/9/17,2058
2015/9/18,2790
2015/9/19,2618
2015/9/20,2656
2015/9/21,1898
2015/9/22,1941
2015/9/23,2098
2015/9/24,2261
2015/9/25,3396
2015/9/26,2587
2015/9/27,3162
2015/9/28,2858
2015/9/29,2906
2015/9/30,4272
2015/10/1,4016
2015/10/2,4118
2015/10/3,4683
2015/10/4,5051
2015/10/5,4789
2015/10/6,5665
2015/10/7,4849
2015/10/8,2051
2015/10/9,2081
2015/10/10,2418
2015/10/11,2281
2015/10/12,1848
2015/10/13,1836
2015/10/14,1938
2015/10/15,2163
2015/10/16,2931
2015/10/17,3172
2015/10/18,3388
2015/10/19,1902
2015/10/20,2120
2015/10/21,2203
2015/10/22,2365
2015/10/23,2966
2015/10/24,2999
2015/10/25,3202
2015/10/26,1844
2015/10/27,1789
2015/10/28,1906
2015/10/29,2032
2015/10/30,2922
2015/11/1,3205
2015/11/2,1993
2015/11/3,1859
2015/11/4,1764
2015/11/5,1840
2015/11/6,2537
2015/11/7,2562
2015/11/8,3030
2015/11/9,1745
2015/11/10,1681
2015/11/11,1998
2015/11/12,2022
2015/11/13,2623
2015/11/14,2615
2015/11/15,3322
2015/11/16,1809
2015/11/17,1760
2015/11/18,1857
2015/11/19,1972
2015/11/20,2734
2015/11/21,2771
2015/11/22,3165
2015/11/23,1960
2015/11/24,1745
2015/11/25,2071
2015/11/26,2407
2015/11/27,3210
2015/11/28,2954
2015/11/29,3282
2015/11/30,2183
2015/12/1,1673
2015/12/2,1735
2015/12/3,2015
2015/12/4,2554
2015/12/5,2418
2015/12/6,2930
2015/12/7,1737
2015/12/8,1779
2015/12/9,1824
2015/12/10,2063
2015/12/11,2433
2015/12/12,2409
2015/12/13,2788
2015/12/14,1651
2015/12/15,1784
2015/12/16,1767
2015/12/17,2171
2015/12/18,2964
2015/12/19,2481
2015/12/20,2661
2015/12/21,1899
2015/12/22,1793
2015/12/23,2141
2015/12/24,2261
2015/12/25,2574
2015/12/26,2247
2015/12/27,2346
2015/12/28,1673
2015/12/29,1780
2015/12/30,2381
2015/12/31,4392
2016/1/1,2656
2016/1/2,3608
2016/1/3,6446
2016/1/4,2000
2016/1/5,1714
2016/1/6,1677
2016/1/7,1699
2016/1/8,2074
2016/1/9,2011
2016/1/10,2157
2016/1/11,1773
2016/1/12,1812
2016/1/13,2029
2016/1/14,2039
2016/1/15,2599
2016/1/16,2438
2016/1/17,2584
2016/1/18,1781
2016/1/19,1833
2016/1/20,1955
2016/1/21,2132
2016/1/22,3157
2016/1/23,2941
2016/1/24,2334
2016/1/25,1698
2016/1/26,1516
2016/1/27,1644
2016/1/28,1519
2016/1/29,1750
2016/1/30,1621
2016/1/31,1571
2016/2/1,1127
2016/2/2,1267
2016/2/3,1195
2016/2/4,1043
2016/2/5,919
2016/2/6,627
2016/2/7,378
2016/2/8,773
2016/2/9,1304
2016/2/10,1774
2016/2/11,2150
2016/2/12,3339
2016/2/13,4956
2016/2/14,3623
2016/2/15,2668
2016/2/16,2335
2016/2/17,2464
2016/2/18,2209
2016/2/20,3104
2016/2/21,3586
2016/2/22,2420
2016/2/23,4153
2016/2/24,4357
2016/2/25,8749
2016/2/26,5233
2016/2/27,4660
2016/2/28,3667
2016/2/29,2032
2016/3/1,1986
2016/3/2,2209
2016/3/3,2229
2016/3/4,2946
2016/3/5,3057
2016/3/6,3009
2016/3/7,1874
2016/3/8,1767
