Date,Count
2015/1/1,22
2015/1/2,171
2015/1/3,261
2015/1/4,19
2015/1/5,16
2015/1/6,13
2015/1/7,51
2015/1/8,13
2015/1/9,15
2015/1/10,25
2015/1/11,20
2015/1/12,121
2015/1/13,20
2015/1/14,15
2015/1/15,21
2015/1/16,43
2015/1/17,8
2015/1/18,30
2015/1/19,38
2015/1/20,33
2015/1/21,38
2015/1/22,33
2015/1/23,23
2015/1/24,33
2015/1/25,29
2015/1/26,28
2015/1/27,18
2015/1/28,24
2015/1/29,11
2015/1/30,28
2015/1/31,13
2015/2/1,17
2015/2/2,17
2015/2/3,5
2015/2/4,18
2015/2/5,15
2015/2/6,17
2015/2/7,34
2015/2/8,9
2015/2/9,26
2015/2/10,15
2015/2/11,11
2015/2/12,20
2015/2/13,39
2015/2/14,39
2015/2/15,31
2015/2/16,28
2015/2/17,7
2015/2/19,21
2015/2/20,26
2015/2/21,59
2015/2/22,69
2015/2/23,79
2015/2/24,97
2015/2/25,75
2015/2/26,76
2015/2/27,61
2015/2/28,51
2015/3/1,58
2015/3/2,58
2015/3/3,62
2015/3/4,77
2015/3/5,85
2015/3/6,79
2015/3/7,67
2015/3/8,58
2015/3/9,86
2015/3/10,63
2015/3/11,59
2015/3/12,36
2015/3/13,32
2015/3/14,31
2015/3/15,51
2015/3/16,28
2015/3/17,39
2015/3/18,48
2015/3/19,24
2015/3/20,29
2015/3/21,37
2015/3/22,39
2015/3/23,28
2015/3/25,48
2015/3/26,38
2015/3/27,24
2015/3/28,41
2015/3/29,25
2015/4/1,34
2015/4/2,24
2015/4/3,24
2015/4/4,37
2015/4/5,62
2015/4/6,32
2015/4/7,26
2015/4/8,27
2015/4/9,59
2015/4/10,37
2015/4/11,41
2015/4/12,20
2015/4/13,44
2015/4/14,30
2015/4/15,21
2015/4/16,17
2015/4/17,42
2015/4/18,18
2015/4/19,19
2015/4/20,25
2015/4/21,21
2015/4/22,46
2015/4/23,50
2015/4/24,26
2015/4/25,31
2015/4/26,19
2015/4/27,43
2015/4/28,27
2015/4/29,57
2015/4/30,38
2015/5/1,55
2015/5/2,50
2015/5/3,47
2015/5/4,49
2015/5/5,55
2015/5/6,32
2015/5/7,43
2015/5/8,59
2015/5/9,71
2015/5/10,39
2015/5/11,21
2015/5/12,17
2015/5/13,31
2015/5/14,23
2015/5/15,28
2015/5/16,35
2015/5/17,20
2015/5/18,17
2015/5/19,39
2015/5/20,68
2015/5/21,32
2015/5/22,37
2015/5/23,24
2015/5/24,16
2015/5/25,29
2015/5/26,22
2015/5/27,17
2015/5/28,27
2015/5/29,19
2015/5/30,22
2015/5/31,20
2015/6/1,21
2015/6/2,28
2015/6/3,26
2015/6/4,35
2015/6/5,28
2015/6/6,30
2015/6/7,13
2015/6/8,13
2015/6/9,27
2015/6/10,22
2015/6/11,28
2015/6/12,24
2015/6/13,27
2015/6/14,46
2015/6/15,36
2015/6/16,30
2015/6/17,31
2015/6/18,29
2015/6/19,28
2015/6/20,48
2015/6/21,39
2015/6/22,37
2015/6/23,48
2015/6/24,23
2015/6/25,34
2015/6/26,64
2015/6/27,43
2015/6/28,29
2015/6/29,22
2015/6/30,67
2015/7/1,33
2015/7/2,38
2015/7/3,26
2015/7/4,55
2015/7/5,45
2015/7/6,46
2015/7/7,46
2015/7/8,61
2015/7/9,49
2015/7/10,49
2015/7/11,38
2015/7/12,38
2015/7/13,71
2015/7/14,58
2015/7/15,34
2015/7/16,50
2015/7/17,36
2015/7/18,58
2015/7/19,47
2015/7/20,52
2015/7/21,51
2015/7/22,38
2015/7/23,273
2015/7/24,34
2015/7/25,36
2015/7/27,39
2015/7/28,26
2015/7/29,33
2015/7/30,35
2015/7/31,47
2015/8/1,47
2015/8/2,32
2015/8/3,43
2015/8/4,24
2015/8/5,22
2015/8/6,40
2015/8/7,37
2015/8/8,38
2015/8/9,36
2015/8/10,19
2015/8/11,18
2015/8/12,63
2015/8/13,33
2015/8/14,58
2015/8/15,75
2015/8/16,52
2015/8/17,49
2015/8/18,62
2015/8/19,61
2015/8/20,51
2015/8/21,30
2015/8/22,62
2015/8/23,25
2015/8/24,34
2015/8/25,74
2015/8/27,51
2015/8/28,79
2015/8/29,58
2015/8/30,52
2015/8/31,37
2015/9/1,25
2015/9/2,40
2015/9/3,33
2015/9/4,20
2015/9/5,24
2015/9/6,32
2015/9/7,36
2015/9/8,24
2015/9/9,14
2015/9/10,29
2015/9/11,19
2015/9/12,31
2015/9/13,24
2015/9/14,23
2015/9/15,31
2015/9/16,20
2015/9/17,21
2015/9/18,23
2015/9/19,13
2015/9/20,20
2015/9/21,23
2015/9/22,18
2015/9/23,20
2015/9/24,16
2015/9/25,34
2015/9/26,35
2015/9/27,14
2015/9/28,34
2015/9/29,43
2015/9/30,34
2015/10/1,39
2015/10/2,62
2015/10/3,92
2015/10/4,113
2015/10/5,88
2015/10/6,61
2015/10/7,51
2015/10/8,37
2015/10/9,31
2015/10/10,29
2015/10/11,34
2015/10/12,26
2015/10/13,47
2015/10/14,16
2015/10/15,29
2015/10/16,20
2015/10/17,35
2015/10/18,30
2015/10/19,27
2015/10/20,39
2015/10/21,24
2015/10/22,24
2015/10/23,22
2015/10/24,29
2015/10/25,14
2015/10/26,8
2015/10/27,17
2015/10/28,22
2015/10/29,21
2015/10/30,12
2015/11/1,25
2015/11/2,29
2015/11/3,13
2015/11/4,16
2015/11/5,25
2015/11/6,11
2015/11/7,25
2015/11/8,23
2015/11/9,14
2015/11/10,22
2015/11/11,19
2015/11/12,28
2015/11/13,21
2015/11/14,15
2015/11/15,16
2015/11/16,12
2015/11/17,17
2015/11/18,13
2015/11/19,23
2015/11/20,17
2015/11/21,23
2015/11/22,21
2015/11/23,8
2015/11/24,16
2015/11/25,13
2015/11/26,33
2015/11/27,19
2015/11/28,19
2015/11/29,13
2015/11/30,16
2015/12/1,12
2015/12/2,12
2015/12/3,13
2015/12/4,12
2015/12/5,21
2015/12/6,11
2015/12/7,17
2015/12/8,9
2015/12/9,17
2015/12/10,17
2015/12/11,18
2015/12/12,9
2015/12/13,17
2015/12/14,10
2015/12/15,13
2015/12/16,13
2015/12/17,8
2015/12/18,16
2015/12/19,18
2015/12/20,8
2015/12/21,9
2015/12/22,5
2015/12/23,8
2015/12/24,7
2015/12/25,11
2015/12/26,18
2015/12/27,10
2015/12/28,16
2015/12/29,10
2015/12/30,11
2015/12/31,15
2016/1/1,19
2016/1/2,22
2016/1/3,19
2016/1/4,21
2016/1/5,15
2016/1/6,23
2016/1/7,16
2016/1/8,16
2016/1/9,10
2016/1/10,18
2016/1/11,25
2016/1/12,24
2016/1/13,12
2016/1/14,23
2016/1/15,21
2016/1/16,27
2016/1/17,13
2016/1/18,14
2016/1/19,22
2016/1/20,19
2016/1/21,25
2016/1/22,16
2016/1/23,15
2016/1/24,8
2016/1/25,23
2016/1/26,19
2016/1/27,14
2016/1/28,30
2016/1/29,12
2016/1/30,27
2016/1/31,26
2016/2/1,29
2016/2/2,34
2016/2/3,40
2016/2/4,16
2016/2/5,37
2016/2/6,6
2016/2/8,6
2016/2/9,26
2016/2/10,49
2016/2/11,91
2016/2/12,107
2016/2/13,118
2016/2/14,101
2016/2/15,91
2016/2/16,75
2016/2/17,107
2016/2/18,62
2016/2/20,75
2016/2/21,86
2016/2/22,68
2016/2/23,153
2016/2/24,66
2016/2/25,73
2016/2/26,70
2016/2/27,77
2016/2/28,83
2016/2/29,103
2016/3/1,65
2016/3/2,178
2016/3/3,83
2016/3/4,193
2016/3/5,75
2016/3/6,39
2016/3/7,29
2016/3/8,33
2016/3/9,23
2016/3/10,29
2016/3/11,25
2016/3/12,32
2016/3/13,12
2016/3/14,30
2016/3/15,31
2016/3/16,25
2016/3/17,9
2016/3/18,35
2016/3/19,21
2016/3/20,21
