Date,Count
2015/1/1,35120
2015/1/2,49081
2015/1/3,59712
2015/1/4,30305
2015/1/5,27054
2015/1/6,25383
2015/1/7,26757
2015/1/8,28319
2015/1/9,30688
2015/1/10,28689
2015/1/11,29450
2015/1/12,35869
2015/1/13,27351
2015/1/14,28473
2015/1/15,31932
2015/1/16,33924
2015/1/17,30530
2015/1/18,31318
2015/1/19,28580
2015/1/20,28101
2015/1/21,29228
2015/1/22,29686
2015/1/23,32611
2015/1/24,30250
2015/1/25,31685
2015/1/26,28849
2015/1/27,29197
2015/1/28,30483
2015/1/29,30033
2015/1/30,31110
2015/1/31,30257
2015/2/1,30870
2015/2/2,29955
2015/2/3,30406
2015/2/4,30473
2015/2/5,31813
2015/2/6,34867
2015/2/7,32986
2015/2/8,35495
2015/2/9,34046
2015/2/10,36805
2015/2/11,34132
2015/2/12,37155
2015/2/13,36605
2015/2/14,35238
2015/2/15,35070
2015/2/16,35633
2015/2/17,30117
2015/2/18,14854
2015/2/19,19542
2015/2/20,34065
2015/2/21,35330
2015/2/22,36532
2015/2/23,37609
2015/2/24,38627
2015/2/25,34442
2015/2/26,34903
2015/2/27,33730
2015/2/28,36233
2015/3/1,33049
2015/3/2,31199
2015/3/3,27143
2015/3/4,29127
2015/3/5,27416
2015/3/6,35696
2015/3/7,33948
2015/3/8,34809
2015/3/9,29821
2015/3/10,28480
2015/3/11,27793
2015/3/12,29205
2015/3/13,31500
2015/3/14,31289
2015/3/15,33179
2015/3/16,30612
2015/3/17,28221
2015/3/18,28746
2015/3/19,30122
2015/3/20,33882
2015/3/21,34101
2015/3/22,34703
2015/3/23,30744
2015/3/25,29986
2015/3/26,32882
2015/3/27,37200
2015/3/28,34522
2015/3/29,36336
2015/4/1,31803
2015/4/2,37647
2015/4/3,58017
2015/4/4,46564
2015/4/5,41975
2015/4/6,50871
2015/4/7,34097
2015/4/8,31273
2015/4/9,30890
2015/4/10,36528
2015/4/11,35573
2015/4/12,35267
2015/4/13,31530
2015/4/14,30662
2015/4/15,31803
2015/4/16,33807
2015/4/17,38642
2015/4/18,36127
2015/4/19,36767
2015/4/20,31947
2015/4/21,30861
2015/4/22,32768
2015/4/23,34553
2015/4/24,39505
2015/4/25,38390
2015/4/26,39184
2015/4/27,34610
2015/4/28,37544
2015/4/29,45365
2015/4/30,62093
2015/5/1,45934
2015/5/2,48543
2015/5/3,55560
2015/5/4,40065
2015/5/5,34061
2015/5/6,31759
2015/5/7,33092
2015/5/8,37098
2015/5/9,35681
2015/5/10,36099
2015/5/11,31458
2015/5/12,30018
2015/5/13,31308
2015/5/14,33730
2015/5/15,39187
2015/5/16,36101
2015/5/17,37722
2015/5/18,32022
2015/5/19,33189
2015/5/20,33424
2015/5/21,35273
2015/5/22,38590
2015/5/23,36893
2015/5/24,39401
2015/5/25,34732
2015/5/26,31569
2015/5/27,33186
2015/5/28,35480
2015/5/29,39972
2015/5/30,38039
2015/5/31,42384
2015/6/1,35562
2015/6/2,34893
2015/6/3,33795
2015/6/4,36498
2015/6/5,41479
2015/6/6,36882
2015/6/7,39361
2015/6/8,35461
2015/6/9,33525
2015/6/10,32457
2015/6/11,34118
2015/6/12,39047
2015/6/13,36115
2015/6/14,38441
2015/6/15,34017
2015/6/16,33559
2015/6/17,35452
2015/6/18,40657
2015/6/19,54358
2015/6/20,40352
2015/6/21,43049
2015/6/22,49735
2015/6/23,37893
2015/6/24,33631
2015/6/25,35019
2015/6/26,39396
2015/6/27,36818
2015/6/28,38345
2015/6/29,35138
2015/6/30,35987
2015/7/1,42433
2015/7/2,42884
2015/7/3,48255
2015/7/4,45421
2015/7/5,46986
2015/7/6,43487
2015/7/7,43217
2015/7/8,43491
2015/7/9,43696
2015/7/10,46383
2015/7/11,42815
2015/7/12,44329
2015/7/13,42751
2015/7/14,40384
2015/7/15,40476
2015/7/16,40078
2015/7/17,45741
2015/7/18,41046
2015/7/19,44103
2015/7/20,39752
2015/7/21,37807
2015/7/22,37911
2015/7/23,57374
2015/7/24,41494
2015/7/25,40599
2015/7/27,40157
2015/7/28,37574
2015/7/29,37668
2015/7/30,38936
2015/7/31,42751
2015/8/1,38941
2015/8/2,41517
2015/8/3,37271
2015/8/4,35351
2015/8/5,38041
2015/8/6,39730
2015/8/7,42555
2015/8/8,40922
2015/8/9,39583
2015/8/10,39206
2015/8/11,39717
2015/8/12,40394
2015/8/13,41199
2015/8/14,43628
2015/8/15,42361
2015/8/16,45203
2015/8/17,41405
2015/8/18,41808
2015/8/19,42232
2015/8/20,43169
2015/8/21,44116
2015/8/22,43007
2015/8/23,46627
2015/8/24,45235
2015/8/25,43468
2015/8/27,42842
2015/8/28,44945
2015/8/29,46875
2015/8/30,45622
2015/8/31,39464
2015/9/1,39893
2015/9/2,46241
2015/9/3,45031
2015/9/4,47511
2015/9/5,51482
2015/9/6,45186
2015/9/7,40248
2015/9/8,38609
2015/9/9,38058
2015/9/10,39959
2015/9/11,44170
2015/9/12,40140
2015/9/13,40279
2015/9/14,35466
2015/9/15,33779
2015/9/16,34809
2015/9/17,38059
2015/9/18,41678
2015/9/19,38221
2015/9/20,41871
2015/9/21,36890
2015/9/22,37256
2015/9/23,37466
2015/9/24,41971
2015/9/25,51188
2015/9/26,48815
2015/9/27,41742
2015/9/28,43612
2015/9/29,48854
2015/9/30,61128
2015/10/1,50993
2015/10/2,49598
2015/10/3,52353
2015/10/4,52905
2015/10/5,53564
2015/10/6,57159
2015/10/7,53310
2015/10/8,40331
2015/10/9,36583
2015/10/10,37687
2015/10/11,36596
2015/10/12,34546
2015/10/13,32851
2015/10/14,33159
2015/10/15,39149
2015/10/16,45044
2015/10/17,42703
2015/10/18,42634
2015/10/19,36347
2015/10/20,33727
2015/10/21,33828
2015/10/22,32898
2015/10/23,42534
2015/10/24,38608
2015/10/25,38949
2015/10/26,33013
2015/10/27,32270
2015/10/28,33075
2015/10/29,36049
2015/10/30,40398
2015/11/1,41138
2015/11/2,32953
2015/11/3,31808
2015/11/4,32667
2015/11/5,34462
2015/11/6,41369
2015/11/7,37610
2015/11/8,39834
2015/11/9,34627
2015/11/10,32359
2015/11/11,31259
2015/11/12,34749
2015/11/13,40898
2015/11/14,37332
2015/11/15,39816
2015/11/16,33183
2015/11/17,31525
2015/11/18,32189
2015/11/19,35971
2015/11/20,42340
2015/11/21,39187
2015/11/22,41215
2015/11/23,35781
2015/11/24,31090
2015/11/25,28698
2015/11/26,34453
2015/11/27,41632
2015/11/28,37673
2015/11/29,40064
2015/11/30,32943
2015/12/1,32618
2015/12/2,31987
2015/12/3,34470
2015/12/4,39008
2015/12/5,34663
2015/12/6,37833
2015/12/7,31853
2015/12/8,30486
2015/12/9,30802
2015/12/10,33522
2015/12/11,38786
2015/12/12,34513
2015/12/13,35460
2015/12/14,30318
2015/12/15,30012
2015/12/16,30744
2015/12/17,32039
