日期：2016/3/21
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,37290,,,,,,,,,,,,,37290
ZD111,,9058,,,,,,,,,,,,,9058
ZD311,,155,678,,,,,,,,,,,,833
ZD326,,6079,2655,98,,,,,,,,,,,8832
ZD192,,1133,847,40,257,,,,,,,,,,2277
ZD022,,37,88,5,37,,,,,,,,,,167
ZD250,,6884,2752,151,1094,703,81,,,,,,,,11665
ZD062,,438,363,23,135,22,,759,,,,,,,1740
ZD120,,133,32,,18,,,47,,,,,,,230
ZD121,,165,100,4,29,,3,34,3,,,,,,338
ZD143,,26,11,,6,,,15,,2,,,,,60
ZD370,,,,,,,,,,,,,,,0
ZD190,,11554,5444,208,2060,541,81,2723,971,151,48,18,,,23799
上车人数合计,,72952,12970,529,3636,1266,165,3578,974,153,48,18,0,0,96289



日期：2016/3/22
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,36991,,,,,,,,,,,,,36991
ZD111,,9630,,,,,,,,,,,,,9630
ZD311,,133,581,,,,,,,,,,,,714
ZD326,,6050,2603,80,,,,,,,,,,,8733
ZD192,,1164,863,35,234,,,,,,,,,,2296
ZD022,,35,86,5,35,,,,,,,,,,161
ZD250,,7050,2640,137,991,605,70,,,,,,,,11493
ZD062,,447,380,18,131,26,,860,,,,,,,1862
ZD120,,130,39,,24,,,60,,,,,,,253
ZD121,,164,101,5,26,,2,33,3,,,,,,334
ZD143,,25,12,,9,,,16,,3,,,,,65
ZD370,,,,,,,,,,,,,,,0
ZD190,,11562,5481,205,2013,518,73,2440,1015,159,43,44,,,23553
上车人数合计,,73381,12786,485,3463,1149,145,3409,1018,162,43,44,0,0,96085



日期：2016/3/23
,上车站,管外,ZD111,ZD311,ZD326,ZD192,ZD022,ZD250,ZD062,ZD120,ZD121,ZD143,ZD370,ZD190,下车人数合计
下车站,,,,,,,,,,,,,,,
管外,,37330,,,,,,,,,,,,,37330
ZD111,,9324,,,,,,,,,,,,,9324
ZD311,,131,573,,,,,,,,,,,,704
ZD326,,6009,2627,90,,,,,,,,,,,8726
ZD192,,1179,871,33,238,,,,,,,,,,2321
ZD022,,35,85,5,35,,,,,,,,,,160
